Kruegerl Bier / Radler|3.50|1
Glas Bier / Radler|3.00|1
Fl. Schlossgold|3.50|1
1/4 l Mischung|2.00|1
1/4 l Tipperl|1.50|1
1/2 l Tipperl|3.00|1
1/4 Most|2.00|1
1/4 Mostspritzer|2.00|1
Fl. Limonade|2.00|1
1/2 l Limonade gespritzt|2.50|1
1/4 l Cappy|2.00|1
1/4 l Cappy-Mischung|1.50|1
1/2 l Cappy-Mischung|3.00|1
1/4 l Apfelsaft|1.50|1
1/4 l Apfelsaft gespritzt|1.50|1
1/2 l Apfelsaft gespritzt|3.00|1
1/4 l Apfel-Holunder|1.50|1
1/4 l Apfel-Holunder gesp.|1.50|1
1/2 l Apfel-Holunder gesp.|3.00|1
1/4 l Pfirsichnektar gesp.|1.50|1
1/2 l Pfirsichnektar gesp.|3.00|1
1/4 l Mineral|1.00|1
Fl. Mineral|3.00|1
Schnitzel|8.50|2
Kotelett|8.50|2
1/2 Grillhendl m. Gb.|8.00|4
Schnitzelsemmel|4.00|2
Kotelettsemmel|4.00|2
Grillwuerstel m. Gb.|3.50|2
Frankfurter m. Gb.|3.00|2
Portion Salat|3.00|2
Portion Pommes|3.00|2
Semmel|0.50|5
Kaffee|2.50|3
Mehlspeise|3.00|3
